login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license
ingenieursaurav,ingenieursaurav/alexa-sample-fire-tv-app-only-integration,2023-01-31T04:50:38Z,0,0,,TRUE,TRUE,other
rbhatia46,rbhatia46/Customer-Lifetime-Value-MachineLearning,2021-11-13T07:56:34Z,1,1,Jupyter Notebook,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/all,2022-01-13T08:57:33Z,5,5,Kotlin,TRUE,TRUE,
adityaoberai,adityaoberai/AzDevSession-VSCode,2022-01-21T13:15:35Z,0,0,C#,TRUE,TRUE,
vopani,vopani/datatableton,2021-07-04T06:37:33Z,268,268,Jupyter Notebook,TRUE,TRUE,apache-2.0
DeekshithSN,DeekshithSN/githubDee,2021-12-20T03:26:57Z,3,3,Dockerfile,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/bench-press,2019-01-13T05:32:51Z,6,6,Kotlin,TRUE,TRUE,
scaleracademy,scaleracademy/chess,2021-11-25T06:46:23Z,0,0,Java,TRUE,TRUE,
aagarwal1012,aagarwal1012/awesome-flutter,2018-06-23T11:20:48Z,2,2,Dart,TRUE,TRUE,
vopani,vopani/Recommendation-Datasets,2021-11-04T05:51:20Z,2,2,,TRUE,TRUE,apache-2.0
SamirPaulb,SamirPaulb/Compiler,2021-03-16T11:54:16Z,14,14,Python,TRUE,TRUE,
Shubham0812,Shubham0812/HabitTracker_UI,2021-10-05T17:01:23Z,59,59,Swift,TRUE,TRUE,apache-2.0
Shubham0812,Shubham0812/Animatify-ios,2020-06-13T11:48:19Z,461,461,Swift,TRUE,TRUE,apache-2.0
paramsiddharth,paramsiddharth/auger,2021-08-10T17:33:16Z,0,0,Go,TRUE,TRUE,apache-2.0
smilegupta,smilegupta/21_Days_of_CP,2019-10-05T17:38:02Z,8,8,C++,TRUE,TRUE,mpl-2.0
sadanandpai,sadanandpai/covid19,2020-03-29T10:59:20Z,1,1,JavaScript,TRUE,TRUE,
aagarwal1012,aagarwal1012/aagarwal1012,2020-07-16T21:49:02Z,1,1,,TRUE,TRUE,
probelalkhan,probelalkhan/android-login-example-using-volley,2015-11-16T16:31:25Z,13,13,Java,TRUE,TRUE,
collabnix,collabnix/banda,2021-10-03T13:09:11Z,1,1,,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/lir.nvim,2021-05-23T09:04:41Z,1,1,Lua,TRUE,FALSE,mit
aashutoshrathi,aashutoshrathi/competitive-programming,2019-06-14T18:10:43Z,4,4,C++,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/CatchUp,2017-11-14T19:12:15Z,0,0,Kotlin,TRUE,TRUE,apache-2.0
paramsiddharth,paramsiddharth/aws-bootstrap,2021-09-06T12:56:41Z,0,0,Shell,TRUE,TRUE,
vopani,vopani/fortyone,2021-04-02T09:19:20Z,108,108,,TRUE,TRUE,apache-2.0
rbhatia46,rbhatia46/Confidence-Interval-Using-Bootstrapping,2021-09-05T18:55:59Z,1,1,Jupyter Notebook,TRUE,TRUE,
DeekshithSN,DeekshithSN/extras,2021-09-03T10:03:33Z,2,2,Dockerfile,TRUE,TRUE,
scaleracademy,scaleracademy/ChattrBox-Android-Firebase-Kotlin,2021-08-22T08:27:09Z,8,8,Kotlin,TRUE,TRUE,
scaleracademy,scaleracademy/bookmyshow,2021-08-11T15:48:05Z,28,28,Java,TRUE,TRUE,
dhruvmanila,dhruvmanila/instant-markdown-d,2021-08-17T12:51:11Z,1,1,CSS,TRUE,TRUE,other
aashutoshrathi,aashutoshrathi/api-screenshot,2021-08-15T07:13:36Z,2,2,JavaScript,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/nope,2021-08-02T18:47:32Z,0,0,Kotlin,TRUE,TRUE,
ragunathjawahar,ragunathjawahar/plaid,2019-09-27T14:03:07Z,0,0,Kotlin,TRUE,FALSE,apache-2.0
SoumyaSagnik,SoumyaSagnik/DreamWorks,2021-07-11T11:15:21Z,1,1,Java,TRUE,TRUE,
Shubham0812,Shubham0812/Calculator_UI,2021-07-13T12:14:02Z,106,106,Swift,TRUE,TRUE,mit
paramsiddharth,paramsiddharth/batch-web-minification-test,2021-07-12T05:35:00Z,0,0,JavaScript,TRUE,TRUE,
dhruvmanila,dhruvmanila/nvim-compe,2021-07-08T17:12:38Z,1,1,,TRUE,TRUE,mit
paramsiddharth,paramsiddharth/canvases-node-backend-tests,2021-07-09T18:23:13Z,0,0,JavaScript,TRUE,TRUE,
smilegupta,smilegupta/all-contributors,2021-07-08T04:33:47Z,2,2,,TRUE,FALSE,mit
mitesh77,mitesh77/getx,2021-07-08T10:06:36Z,9,9,,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/nvim-nonicons,2021-09-12T17:58:45Z,1,1,,TRUE,TRUE,
paramsiddharth,paramsiddharth/aws-summit-emojies,2021-06-29T09:08:43Z,0,0,,TRUE,TRUE,
SamirPaulb,SamirPaulb/Java,2021-01-17T10:41:14Z,42,42,Java,TRUE,TRUE,gpl-3.0
mitesh77,mitesh77/flutter_map,2021-07-02T08:19:19Z,11,11,,TRUE,TRUE,mit
probelalkhan,probelalkhan/android-mvvm-architecture,2019-06-11T12:57:06Z,179,179,Kotlin,TRUE,TRUE,
ajeetraina,ajeetraina/ansh8tu,2021-09-13T17:58:57Z,0,0,,TRUE,TRUE,mit
collabnix,collabnix/basic-redis-leaderboard-demo-java,2021-06-08T12:24:12Z,1,1,,TRUE,TRUE,
paramsiddharth,paramsiddharth/c-buffer-io,2021-05-29T17:48:33Z,0,0,C,TRUE,TRUE,
